input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input02749.dcm,dataset\bone_masks\mask02749.dcm,10258,250996,272,618,0.943177638837808,0.9741690408357075,0.0010825095117563716,0.056822361162191984,0.339508056640625,0.9201650520272696,0.9584228720919369
dataset\inputs\input02750.dcm,dataset\bone_masks\mask02750.dcm,14609,244883,403,332,0.9777792651094305,0.9731548094857447,0.0016429800314734636,0.022220734890569575,0.28244571086013365,0.9520985401459853,0.9754615564384201
dataset\inputs\input02751.dcm,dataset\bone_masks\mask02751.dcm,9820,251194,499,631,0.9396230025834849,0.9516426010272313,0.001982574008812323,0.060376997416515164,0.431060791015625,0.8968036529680367,0.9455946076071257
dataset\inputs\input02752.dcm,dataset\bone_masks\mask02752.dcm,9515,250911,247,137,0.9858060505594696,0.9746978078262651,0.0009834446842226805,0.01419394944053046,0.14723361834285495,0.9612082028487728,0.9802204594622438
dataset\inputs\input02753.dcm,dataset\bone_masks\mask02753.dcm,6133,255030,109,122,0.9804956035171862,0.9825376481896828,0.00042721810464099963,0.019504396482813748,0.08837234213486155,0.9637020741671906,0.9815155637352965
dataset\inputs\input02754.dcm,dataset\bone_masks\mask02754.dcm,5514,255793,140,71,0.9872873769024172,0.975238769013088,0.0005470181649103477,0.012712623097582811,0.08068278282948019,0.9631441048034936,0.9812260877302251
dataset\inputs\input02755.dcm,dataset\bone_masks\mask02755.dcm,8690,252727,487,240,0.973124300111982,0.9469325487632124,0.0019232743845127047,0.026875699888017916,0.2773284912109375,0.922799192948922,0.9598497818523223
dataset\inputs\input02756.dcm,dataset\bone_masks\mask02756.dcm,8525,252953,195,471,0.9476433970653624,0.9776376146788991,0.000770300377644698,0.05235660293463762,0.254058837890625,0.9275378087259275,0.9624068638518853
dataset\inputs\input02757.dcm,dataset\bone_masks\mask02757.dcm,10942,249050,141,978,0.9179530201342282,0.9872778128665524,0.0005658310292105253,0.08204697986577181,0.42855337385249953,0.9072216234143106,0.9513541711950615
dataset\inputs\input02758.dcm,dataset\bone_masks\mask02758.dcm,5672,255380,2,87,0.984893210626845,0.9996475149806133,7.831405502345506e-06,0.015106789373155061,0.03408120517268449,0.9845512931782677,0.9922155164873612
dataset\inputs\input02759.dcm,dataset\bone_masks\mask02759.dcm,8436,253376,94,238,0.9725616785796634,0.9889800703399766,0.00037085256637866415,0.02743832142033664,0.12664794921875,0.9621350364963503,0.98070216228784
dataset\inputs\input02760.dcm,dataset\bone_masks\mask02760.dcm,8199,253614,103,228,0.9729441082235671,0.9875933509997591,0.00040596412538379377,0.027055891776432896,0.1262664794921875,0.9611957796014067,0.9802139996413414
dataset\inputs\input02761.dcm,dataset\bone_masks\mask02761.dcm,7673,253680,26,81,0.9895537786948672,0.9966229380439018,0.00010248082426115267,0.010446221305132834,0.04092404191845789,0.9862467866323905,0.9930757781660519
dataset\inputs\input02762.dcm,dataset\bone_masks\mask02762.dcm,7449,254377,53,265,0.9656468758102152,0.9929352172753932,0.00020830876862005265,0.034353124189784805,0.121307373046875,0.959057551178061,0.9791009463722398
dataset\inputs\input02763.dcm,dataset\bone_masks\mask02763.dcm,5692,255810,8,78,0.9864818024263432,0.9985964912280701,3.12722326028661e-05,0.013518197573656845,0.03287612581616894,0.985115957078574,0.9925021795989538
dataset\inputs\input02764.dcm,dataset\bone_masks\mask02764.dcm,6577,255119,25,423,0.9395714285714286,0.9962132687064525,9.79838836108237e-05,0.06042857142857143,0.1708984375,0.9362277580071175,0.9670636671077782
dataset\inputs\input02765.dcm,dataset\bone_masks\mask02765.dcm,4866,256541,5,123,0.9753457606734817,0.9989735167316772,1.9489682162263298e-05,0.02465423932651834,0.048941824230026576,0.97436924309171,0.9870182555780933
dataset\inputs\input02766.dcm,dataset\bone_masks\mask02766.dcm,6257,254810,39,165,0.9743070694487699,0.9938055908513341,0.0001530317952983924,0.025692930551230148,0.07807984812704051,0.9684259402569262,0.9839597420978141
dataset\inputs\input02767.dcm,dataset\bone_masks\mask02767.dcm,5881,255924,50,289,0.953160453808752,0.9915697184285955,0.00019533233844062288,0.04683954619124797,0.1293182373046875,0.9454983922829581,0.971985786298653
dataset\inputs\input02768.dcm,dataset\bone_masks\mask02768.dcm,5670,256085,115,274,0.9539030955585465,0.9801210025929127,0.0004488680718188915,0.04609690444145357,0.1483917236328125,0.9357979864664137,0.966834342228664
dataset\inputs\input02769.dcm,dataset\bone_masks\mask02769.dcm,6569,254144,9,129,0.9807405195580771,0.9986318029796291,3.541174017225844e-05,0.019259480441922962,0.052903764984608075,0.9794244818845982,0.9896053028020488
dataset\inputs\input02770.dcm,dataset\bone_masks\mask02770.dcm,5395,255787,43,61,0.9888196480938416,0.9920926811327694,0.0001680803658679592,0.011180351906158358,0.03980312760729622,0.9810874704491727,0.9904534606205251
dataset\inputs\input02771.dcm,dataset\bone_masks\mask02771.dcm,5460,256344,51,289,0.9497303878935467,0.9907457811649428,0.00019891183525419761,0.050269612106453296,0.12969970703125,0.9413793103448278,0.9698046181172292
dataset\inputs\input02772.dcm,dataset\bone_masks\mask02772.dcm,5390,256423,50,281,0.9504496561453006,0.9908088235294118,0.00019495229517337107,0.04955034385469935,0.1262664794921875,0.9421429819961545,0.970209702097021
dataset\inputs\input02773.dcm,dataset\bone_masks\mask02773.dcm,5388,256408,50,298,0.9475905733380232,0.9908054431776389,0.0001949636977594772,0.05240942666197679,0.13275146484375,0.9393305439330544,0.9687162891046386
dataset\inputs\input02774.dcm,dataset\bone_masks\mask02774.dcm,5459,256350,42,293,0.9490611961057024,0.9923650245409925,0.0001638116633904334,0.050938803894297634,0.1277923583984375,0.9421815671384192,0.9702301608459967
dataset\inputs\input02775.dcm,dataset\bone_masks\mask02775.dcm,5836,255151,16,109,0.9816652649285114,0.9972658920027341,6.270403304502542e-05,0.018334735071488646,0.04787217745641717,0.9790303640328802,0.9894040857845214
dataset\inputs\input02776.dcm,dataset\bone_masks\mask02776.dcm,5887,255734,119,404,0.9357812748370689,0.9801864801864801,0.0004651108253567478,0.06421872516293117,0.1995086669921875,0.9184087363494541,0.9574693014556396
dataset\inputs\input02777.dcm,dataset\bone_masks\mask02777.dcm,6145,255363,158,478,0.9278272686093915,0.9749325717912105,0.0006183444804927971,0.07217273139060848,0.24261474609375,0.9062085238165463,0.9507968435710971
dataset\inputs\input02778.dcm,dataset\bone_masks\mask02778.dcm,7595,252480,18,493,0.9390454995054401,0.9976356232759753,7.128769336786826e-05,0.06095450049455984,0.19609649021820053,0.9369602763385146,0.9674543022737405
dataset\inputs\input02779.dcm,dataset\bone_masks\mask02779.dcm,6408,254845,63,828,0.8855721393034826,0.9902642559109874,0.0002471479906476062,0.11442786069651742,0.3398895263671875,0.877928483353884,0.9349967170059094
dataset\inputs\input02780.dcm,dataset\bone_masks\mask02780.dcm,7645,254082,135,282,0.9644253816071654,0.9826478149100257,0.0005310423771816991,0.035574618392834614,0.1590728759765625,0.9482758620689654,0.9734513274336283
dataset\inputs\input02781.dcm,dataset\bone_masks\mask02781.dcm,4587,256300,9,386,0.9223808566257792,0.9980417754569191,3.511386646586737e-05,0.0776191433742208,0.15117765479443665,0.920714572460859,0.9587208694743442
dataset\inputs\input02782.dcm,dataset\bone_masks\mask02782.dcm,6777,254488,95,784,0.8963100119031874,0.9861757857974389,0.0003731592447256887,0.1036899880968126,0.3353118896484375,0.8851880877742947,0.9390979006443567
dataset\inputs\input02783.dcm,dataset\bone_masks\mask02783.dcm,7245,254033,176,690,0.9130434782608695,0.9762835197412748,0.0006923437014425139,0.08695652173913043,0.330352783203125,0.8932314141289608,0.943605105496223
dataset\inputs\input02784.dcm,dataset\bone_masks\mask02784.dcm,5862,255035,16,149,0.9752121111295957,0.9972779857094249,6.27325515289099e-05,0.02478788887040426,0.06320337697558434,0.9726231956197114,0.9861216250315418
dataset\inputs\input02785.dcm,dataset\bone_masks\mask02785.dcm,8135,253219,44,746,0.9160004503997298,0.9946203692382932,0.00017373244413909652,0.08399954960027024,0.301361083984375,0.9114845938375349,0.9536928487690504
dataset\inputs\input02786.dcm,dataset\bone_masks\mask02786.dcm,7481,252943,21,295,0.9620627572016461,0.9972007464676086,8.30157650891036e-05,0.03793724279835391,0.12119352611797192,0.9594715916378095,0.9793166644848802
dataset\inputs\input02787.dcm,dataset\bone_masks\mask02787.dcm,11489,247559,116,786,0.9359674134419552,0.9900043084877208,0.0004683557080851923,0.06403258655804481,0.3469898057318715,0.9272052296021305,0.9622278056951423
dataset\inputs\input02788.dcm,dataset\bone_masks\mask02788.dcm,9919,251240,61,924,0.9147837314396384,0.9938877755511022,0.0002427367977047445,0.08521626856036152,0.3757476806640625,0.9096661775495231,0.9526965374825913
dataset\inputs\input02789.dcm,dataset\bone_masks\mask02789.dcm,10559,250722,345,518,0.9532364358580843,0.9683602347762289,0.0013741351910047915,0.04676356414191568,0.3292083740234375,0.9244440553318158,0.960738819889905
dataset\inputs\input02790.dcm,dataset\bone_masks\mask02790.dcm,10576,250520,179,869,0.9240716470074268,0.9833565783356578,0.0007140036458063255,0.07592835299257318,0.3997802734375,0.9098417068134894,0.9527927927927928
dataset\inputs\input02791.dcm,dataset\bone_masks\mask02791.dcm,8308,253390,98,348,0.9597966728280961,0.9883416607185344,0.00038660607208230763,0.040203327171903884,0.170135498046875,0.9490518620059402,0.9738600398546478
dataset\inputs\input02792.dcm,dataset\bone_masks\mask02792.dcm,13722,244420,147,1236,0.9173686321700762,0.9894008219770711,0.0006010622855904517,0.08263136782992378,0.5328966380888162,0.9084409136047668,0.952024144031637
dataset\inputs\input02793.dcm,dataset\bone_masks\mask02793.dcm,10528,248969,31,602,0.9459119496855346,0.9970641159200682,0.00012449799196787148,0.05408805031446541,0.24333986852727482,0.943284651912911,0.9708146986951911
